date,season,is_weekend,weather
2022-01-01,winter,True,Cold-Clear
2022-01-02,winter,True,Cloudy
2022-01-03,winter,False,Cloudy
2022-01-04,winter,False,Foggy
2022-01-05,winter,False,Cold-Clear
2022-01-06,winter,False,Cloudy
2022-01-07,winter,False,Foggy
2022-01-08,winter,True,Cloudy
2022-01-09,winter,True,Cloudy
2022-01-10,winter,False,Cold-Clear
2022-01-11,winter,False,Cold-Clear
2022-01-12,winter,False,Foggy
2022-01-13,winter,False,Foggy
2022-01-14,winter,False,Cold-Clear
2022-01-15,winter,True,Cold-Clear
2022-01-16,winter,True,Cold-Clear
2022-01-17,winter,False,Clear
2022-01-18,winter,False,Cloudy
2022-01-19,winter,False,Cold-Clear
2022-01-20,winter,False,Clear
2022-01-21,winter,False,Foggy
2022-01-22,winter,True,Foggy
2022-01-23,winter,True,Cold-Clear
2022-01-24,winter,False,Foggy
2022-01-25,winter,False,Foggy
2022-01-26,winter,False,Cold-Clear
2022-01-27,winter,False,Cold-Clear
2022-01-28,winter,False,Clear
2022-01-29,winter,True,Cold-Clear
2022-01-30,winter,True,Cold-Clear
2022-01-31,winter,False,Cold-Clear
2022-02-01,winter,False,Foggy
2022-02-02,winter,False,Foggy
2022-02-03,winter,False,Foggy
2022-02-04,winter,False,Cloudy
2022-02-05,winter,True,Foggy
2022-02-06,winter,True,Cold-Clear
2022-02-07,winter,False,Foggy
2022-02-08,winter,False,Cloudy
2022-02-09,winter,False,Foggy
2022-02-10,winter,False,Foggy
2022-02-11,winter,False,Cloudy
2022-02-12,winter,True,Cold-Clear
2022-02-13,winter,True,Cloudy
2022-02-14,winter,False,Cold-Clear
2022-02-15,winter,False,Cloudy
2022-02-16,winter,False,Foggy
2022-02-17,winter,False,Cold-Clear
2022-02-18,winter,False,Cold-Clear
2022-02-19,winter,True,Cloudy
2022-02-20,winter,True,Cold-Clear
2022-02-21,winter,False,Cold-Clear
2022-02-22,winter,False,Foggy
2022-02-23,winter,False,Cold-Clear
2022-02-24,winter,False,Cold-Clear
2022-02-25,winter,False,Foggy
2022-02-26,winter,True,Cloudy
2022-02-27,winter,True,Cold-Clear
2022-02-28,winter,False,Clear
2022-03-01,spring,False,Cloudy
2022-03-02,spring,False,Cloudy
2022-03-03,spring,False,Cloudy
2022-03-04,spring,False,Cloudy
2022-03-05,spring,True,Clear
2022-03-06,spring,True,Clear
2022-03-07,spring,False,Clear
2022-03-08,spring,False,Clear
2022-03-09,spring,False,Clear
2022-03-10,spring,False,Windy
2022-03-11,spring,False,Clear
2022-03-12,spring,True,Cloudy
2022-03-13,spring,True,Clear
2022-03-14,spring,False,Windy
2022-03-15,spring,False,Cloudy
2022-03-16,spring,False,Clear
2022-03-17,spring,False,Cloudy
2022-03-18,spring,False,Windy
2022-03-19,spring,True,Windy
2022-03-20,spring,True,Cloudy
2022-03-21,spring,False,Clear
2022-03-22,spring,False,Clear
2022-03-23,spring,False,Windy
2022-03-24,spring,False,Cloudy
2022-03-25,spring,False,Clear
2022-03-26,spring,True,Windy
2022-03-27,spring,True,Cloudy
2022-03-28,spring,False,Cloudy
2022-03-29,spring,False,Clear
2022-03-30,spring,False,Clear
2022-03-31,spring,False,Clear
2022-04-01,spring,False,Clear
2022-04-02,spring,True,Windy
2022-04-03,spring,True,Clear
2022-04-04,spring,False,Clear
2022-04-05,spring,False,Clear
2022-04-06,spring,False,Cloudy
2022-04-07,spring,False,Clear
2022-04-08,spring,False,Clear
2022-04-09,spring,True,Clear
2022-04-10,spring,True,Clear
2022-04-11,spring,False,Windy
2022-04-12,spring,False,Cloudy
2022-04-13,spring,False,Clear
2022-04-14,spring,False,Clear
2022-04-15,spring,False,Windy
2022-04-16,spring,True,Clear
2022-04-17,spring,True,Cloudy
2022-04-18,spring,False,Cloudy
