locality_id,locality_name,district,latitude,longitude,area_type,road_type,police_station_dist_km,hospital_dist_km,nearest_hospital,metro_dist_km,nearest_metro,market_density,school_density,population_density_proxy,baseline_tendency,volatility,night_sensitivity,weekend_sensitivity
L0001,Anand Parbat,Central,28.6314,77.22243,residential,highway-adjacent,1.24,2.2,LNJP Hospital,0.25,Rajiv Chowk,1,7,27.5,-0.134,0.961,0.534,0.041
L0002,Nabi Karim,Central,28.63707,77.21584,residential,local,0.89,1.85,RML Hospital,0.45,Rajiv Chowk,2,8,29.9,-0.809,1.251,1.122,-0.75
L0003,Chandni Mahal,Central,28.6341,77.2238,market-zone,local,0.6,1.36,LNJP Hospital,0.24,Rajiv Chowk,10,4,27.5,-1.725,1.482,1.701,-0.286
L0004,Jama Masjid,Central,28.66367,77.22663,mixed,arterial,0.56,2.61,LNJP Hospital,0.94,Kashmere Gate,2,3,21.9,-0.48,1.133,1.123,0.396
L0005,Karol Bagh,Central,28.63618,77.23733,market-zone,collector,1.96,1.13,LNJP Hospital,2.28,Chandni Chowk,10,3,19.1,-0.186,0.815,1.528,-0.396
L0006,Hauz Qazi,Central,28.64181,77.21421,market-zone,collector,2.44,1.25,RML Hospital,1.43,Rajiv Chowk,7,2,28.1,1.694,0.953,1.662,-0.368
L0007,Prasad Nagar,Central,28.65057,77.23966,mixed,collector,0.59,0.86,LNJP Hospital,0.94,Chandni Chowk,5,5,28.3,-1.155,0.783,1.355,-0.309
L0008,Patel Nagar,Central,28.65299,77.21289,residential,local,0.84,2.09,RML Hospital,1.73,Chandni Chowk,2,7,25.6,0.563,0.719,1.329,0.292
L0009,Rajinder Nagar,Central,28.6386,77.23085,mixed,highway-adjacent,1.13,1.15,LNJP Hospital,1.29,Rajiv Chowk,2,2,19.5,1.814,1.311,1.206,-0.209
L0010,Ranjit Nagar,Central,28.64956,77.22043,residential,collector,1.48,2.31,LNJP Hospital,1.15,Chandni Chowk,1,3,21.6,-0.904,1.476,0.751,0.845
L0011,Darya Ganj,Central,28.65316,77.22242,residential,collector,1.42,2.04,LNJP Hospital,1.06,Chandni Chowk,4,7,29.2,0.341,0.813,1.046,-0.021
